CWE,AV,AC,PR,UI,S,C,I,A
0,N,L,L,N,U,N,N,N
4,N,L,L,N,U,N,H,H
7,N,L,L,N,U,H,N,N
10,N,L,L,N,C,H,H,H
11,N,L,L,N,U,H,N,N
20,N,L,L,N,C,L,L,L
22,N,L,L,N,C,H,H,H
73,N,L,L,N,C,L,L,N
78,N,L,L,N,C,H,H,H
79,N,L,L,N,C,H,H,H
89,N,L,L,N,C,H,H,N
90,N,L,L,N,C,H,H,H
94,N,L,L,N,C,N,L,L
119,N,L,L,N,C,L,L,L
120,N,L,L,N,C,H,H,H
125,N,L,L,N,U,L,N,N
129,N,L,L,N,C,L,L,L
131,N,L,L,N,C,L,L,L
134,N,L,L,N,C,H,H,H
170,N,L,L,N,C,L,L,L
171,N,L,L,N,U,N,L,N
185,N,L,L,N,C,N,N,N
188,N,L,L,N,U,H,N,N
190,N,L,L,N,C,N,N,L
194,N,L,L,N,U,L,L,L
195,N,L,L,N,U,N,L,N
197,N,L,L,N,U,N,L,N
200,N,L,L,N,U,L,N,N
209,N,L,L,N,U,L,N,N
243,N,L,L,N,U,L,N,N
248,N,L,L,N,U,L,N,L
252,N,L,L,N,U,L,N,L
253,N,L,L,N,U,L,N,L
259,N,L,L,N,C,H,N,N
290,N,L,L,N,C,H,N,N
291,N,L,L,N,C,H,N,N
293,N,L,L,N,C,H,N,N
313,N,L,L,N,U,H,N,N
314,N,L,L,N,U,H,N,N
315,N,L,L,N,U,H,N,N
317,N,L,L,N,U,H,N,N
319,N,L,L,N,U,H,H,N
321,N,L,L,N,C,H,N,N
327,N,L,L,N,U,H,H,N
328,N,L,L,N,C,H,N,N
350,N,L,L,N,C,H,N,N
352,N,L,L,N,C,H,H,H
366,N,L,L,N,C,N,L,N
367,N,L,L,N,C,N,L,N
369,N,L,L,N,U,N,N,L
377,N,L,L,N,U,L,L,N
384,N,L,L,N,C,H,N,N
390,N,L,L,N,C,N,L,N
394,N,L,L,N,C,N,L,N
398,N,L,L,N,U,N,N,N
400,N,L,L,N,C,N,N,L
401,N,L,L,N,U,N,N,L
403,N,L,L,N,U,L,N,L
404,N,L,L,N,U,L,N,L
415,N,L,L,N,C,L,L,L
416,N,L,L,N,C,L,L,L
425,N,L,L,N,C,H,H,H
427,N,L,L,N,C,L,L,L
456,N,L,L,N,U,N,L,N
457,N,L,L,N,C,N,L,L
459,N,L,L,N,U,L,L,L
465,N,L,L,N,U,N,L,N
467,N,L,L,N,U,L,L,N
470,N,L,L,N,C,L,L,L
476,N,L,L,N,C,L,L,L
480,N,L,L,N,C,N,N,N
481,N,L,L,N,C,N,N,N
482,N,L,L,N,U,N,L,L
483,N,L,L,N,C,L,L,L
484,N,L,L,N,C,N,N,N
502,N,L,L,N,C,N,L,L
532,N,L,L,N,U,H,N,N
543,N,L,L,N,U,N,L,N
561,N,L,L,N,U,N,N,N
562,N,L,L,N,U,N,N,L
563,N,L,L,N,U,N,N,N
567,N,L,L,N,U,L,L,L
568,N,L,L,N,U,N,N,N
569,N,L,L,N,U,N,L,N
570,N,L,L,N,U,N,N,N
573,N,L,L,N,U,N,N,N
580,N,L,L,N,U,N,N,N
584,N,L,L,N,C,N,N,N
590,N,L,L,N,C,L,L,L
595,N,L,L,N,U,N,N,N
596,N,L,L,N,U,N,N,N
597,N,L,L,N,U,N,N,N
606,N,L,L,N,U,N,N,L
610,N,L,L,N,U,L,L,N
615,N,L,L,N,U,H,N,N
617,N,L,L,N,U,N,N,L
628,N,L,L,N,C,N,N,N
633,N,L,L,N,U,N,L,L
650,N,L,L,N,C,H,H,N
662,N,L,L,N,C,L,L,N
665,N,L,L,N,C,L,N,L
667,N,L,L,N,U,N,N,L
670,N,L,L,N,C,N,N,N
672,N,L,L,N,U,L,L,L
676,N,L,L,N,U,N,H,N
681,N,L,L,N,U,N,L,N
683,N,L,L,N,U,N,N,N
685,N,L,L,N,U,N,N,N
686,N,L,L,N,U,N,N,N
687,N,L,L,N,U,N,N,N
688,N,L,L,N,U,N,N,N
704,N,L,L,N,U,N,N,N
710,N,L,L,N,U,N,N,N
731,N,L,L,N,U,L,L,N
758,N,L,L,N,U,N,N,N
759,N,L,L,N,C,H,N,N
760,N,L,L,N,C,H,N,N
762,N,L,L,N,C,L,L,L
764,N,L,L,N,U,N,L,L
772,N,L,L,N,U,N,N,L
775,N,L,L,N,U,N,N,L
783,N,L,L,N,U,L,L,L
798,N,L,L,N,C,H,H,H
833,N,L,L,N,U,N,N,L
835,N,L,L,N,U,N,N,L
862,N,L,L,N,C,H,H,N
863,N,L,L,N,C,H,H,N
916,N,L,L,N,C,H,N,N
917,N,L,L,N,C,H,H,N
